AIR.DE,AIRBUS GROUP
ARL.DE,AAREAL BANK
BNR.DE,BRENNTAG
BOSS.DE,HUGO BOSS
DEQ.DE,DEUTSCHE EUROSHOP
DUE.DE,DUERR
DWNI.DE,DEUTSCHE WOHNEN INH
EVD.DE,CTS EVENTIM KGAA
EVK.DE,EVONIK INDUSTRIES
FIE.DE,FIELMANN
FPE3.DE,FUCHS PETROL VZO
FRA.DE,FRAPORT FFM AIRPORT
G1A.DE,GEA GROUP
GBF.DE,BILFINGER
GIL.DE,DMG MORI
GXI.DE,GERRESHEIMER
HLE.DE,HELLA KGAA HUECK + CO
HNR1.DE,HANN RUECK
HOT.DE,HOCHTIEF
JUN3.DE,JUNGHEINRICH ON VZO
KCO.DE,KLOECKNER + CO
KD8.DE,KABEL DT HOLDING
KGX.DE,KION GROUP
KRN.DE,KRONES
KU2.DE,KUKA
LEG.DE,LEG IMMOBILIEN
LEO.DE,LEONI
LXS.DE,LANXESS
MAN.DE,MAN ST
MEO.DE,METRO ST
MTX.DE,MTU AERO ENGINES
NDA.DE,AURUBIS
NOEJ.DE,NORMA GROUP
OSR.DE,OSRAM LICHT
PBB.DE,DT PFANDBRIEFBK
PSM.DE,PROSIEBENSAT 1
RHK.DE,RHOEN KLINIKUM
RHM.DE,RHEINMETALL
RRTL.DE,RTL GROUP
SAZ.DE,STADA ARZNEIMITT VNA
SPR.DE,A SPRINGER VNA
SY1.DE,SYMRISE INH
SZG.DE,SALZGITTER
SZU.DE,SUEDZUCKER
TEG.DE,TAG IMMOBILIEN
TLX.DE,TALANX
WCH.DE,WACKER CHEMIE
WIN.DE,WINCOR NIXDORF
ZAL.DE,ZALANDO
ZIL2.DE,ELRINGKLINGER
